iter	Passed	Remaining
485	678	717
486	679	715
487	680	713
488	681	712
489	682	710
490	683	708
491	685	707
492	686	706
493	688	705
494	692	706
495	693	704
496	695	703
497	696	702
498	698	701
499	700	700
500	702	699
501	703	698
502	706	698
503	708	697
504	710	696
505	712	695
506	716	696
507	717	694
508	718	693
509	720	691
510	721	690
511	723	689
512	725	688
513	727	688
514	729	686
515	730	685
516	731	683
517	732	681
518	733	680
519	736	679
520	737	678
521	739	677
522	741	675
523	742	674
524	743	672
525	744	671
526	746	669
527	747	668
528	748	666
529	751	666
530	753	665
531	754	664
532	756	662
533	757	660
534	758	659
535	759	657
536	760	656
537	762	654
538	763	653
539	766	652
540	767	651
541	768	649
542	770	648
543	771	646
544	772	645
545	773	643
546	774	641
547	776	640
548	777	638
549	778	636
550	780	635
551	782	634
552	783	633
553	784	631
554	785	629
555	786	628
556	787	626
557	788	624
558	790	623
559	791	621
560	792	620
561	793	618
562	796	618
563	797	616
564	799	615
565	800	613
566	801	611
567	802	610
568	803	608
569	804	607
570	806	605
571	807	604
572	812	605
573	814	604
574	816	603
575	818	602
576	820	601
577	822	600
578	823	598
579	825	597
580	827	596
581	828	595
582	829	593
583	831	591
584	832	590
585	833	588
586	834	587
587	835	585
588	837	584
589	838	582
590	841	582
591	842	580
592	843	579
593	845	577
594	846	576
595	847	574
596	848	572
597	849	571
598	851	569
599	852	568
600	853	566
601	856	566
602	857	564
603	858	563
604	860	561
605	861	560
606	862	558
607	863	556
608	864	555
609	866	553
610	867	552
611	868	550
612	871	550
613	873	549
614	875	547
615	876	546
616	878	545
617	880	544
618	882	543
619	887	543
620	893	545
621	894	543
622	896	542
623	897	541
624	901	541
625	903	540
626	905	538
627	907	537
628	910	536
629	911	535
630	913	534
631	918	534
632	920	533
633	924	533
634	925	532
635	933	534
636	935	532
637	937	531
638	938	530
639	940	529
640	942	527
641	943	526
642	946	525
643	948	524
644	949	522
645	950	520
646	952	519
647	954	518
648	955	516
649	956	514
650	957	513
651	958	511
652	959	510
653	961	508
654	962	507
655	963	505
656	964	503
657	965	501
658	967	500
659	969	499
660	971	498
661	973	496
662	980	498
663	982	497
664	984	496
665	987	495
666	992	495
667	994	494
668	996	493
669	999	492
670	1000	490
671	1007	491
672	1012	492
673	1015	490
674	1020	491
675	1025	491
676	1028	490
677	1030	489
678	1039	491
679	1040	489
680	1043	488
681	1047	488
682	1048	486
683	1052	486
684	1054	484
685	1055	483
686	1057	481
687	1058	480
688	1060	478
689	1062	477
690	1065	476
691	1067	475
692	1068	473
693	1076	474
694	1081	474
695	1083	473
696	1085	471
697	1086	470
698	1088	468
699	1089	467
700	1091	465
701	1092	463
702	1098	464
703	1100	462
704	1101	460
705	1104	459
706	1106	458
707	1108	457
708	1111	456
709	1112	454
710	1114	452
711	1115	451
712	1116	449
713	1117	447
714	1119	446
715	1120	444
716	1121	442
717	1122	440
718	1124	439
719	1128	438
720	1130	437
721	1131	435
722	1134	434
723	1136	433
724	1138	431
725	1139	430
726	1143	429
727	1145	427
728	1146	426
729	1150	425
730	1152	424
731	1154	422
732	1155	421
733	1157	419
734	1163	419
735	1165	417
736	1168	416
737	1169	415
738	1170	413
739	1173	412
740	1175	410
741	1177	409
742	1179	407
743	1181	406
744	1182	404
745	1184	403
746	1185	401
747	1187	400
748	1188	398
749	1191	397
750	1192	395
751	1193	393
752	1194	391
753	1196	390
754	1197	388
755	1200	387
756	1201	385
757	1203	384
758	1205	382
759	1207	381
760	1209	379
761	1211	378
762	1215	377
763	1216	375
764	1221	375
765	1222	373
766	1224	371
767	1225	370
768	1226	368
769	1230	367
770	1232	366
771	1234	364
772	1236	363
773	1238	361
774	1240	360
775	1241	358
776	1247	358
777	1249	356
778	1250	354
779	1252	353
780	1253	351
781	1255	349
782	1258	348
783	1262	347
784	1263	346
785	1266	344
786	1267	343
787	1269	341
788	1270	339
789	1272	338
790	1273	336
791	1276	335
792	1278	333
793	1280	332
794	1282	330
795	1283	328
796	1285	327
797	1286	325
798	1288	324
799	1290	322
800	1292	321
801	1293	319
802	1295	317
803	1296	316
804	1298	314
805	1301	313
806	1303	311
807	1305	310
808	1307	308
809	1308	307
810	1309	305
811	1310	303
812	1311	301
813	1313	300
814	1314	298
815	1316	296
816	1318	295
817	1321	294
818	1323	292
819	1324	290
820	1325	289
821	1327	287
822	1329	285
823	1331	284
824	1333	282
825	1337	281
826	1338	280
827	1340	278
828	1341	276
829	1342	274
830	1343	273
831	1344	271
832	1346	269
833	1347	268
834	1349	266
835	1352	265
836	1353	263
837	1354	261
838	1356	260
839	1357	258
840	1359	256
841	1361	255
842	1362	253
843	1366	252
844	1368	250
845	1370	249
846	1372	247
847	1374	246
848	1376	244
849	1377	243
850	1379	241
851	1397	242
852	1399	241
853	1400	239
854	1402	237
855	1405	236
856	1407	234
857	1409	233
858	1413	232
859	1415	230
860	1417	228
861	1419	227
862	1421	225
863	1423	224
864	1425	222
865	1427	220
866	1429	219
867	1431	217
868	1433	216
869	1439	215
870	1442	213
871	1444	212
872	1446	210
873	1448	208
874	1449	207
875	1451	205
876	1453	203
877	1455	202
878	1459	200
879	1462	199
880	1464	197
881	1466	196
882	1476	195
883	1478	194
884	1480	192
885	1486	191
886	1487	189
887	1489	187
888	1492	186
889	1494	184
890	1496	183
891	1498	181
892	1532	183
893	1540	182
894	1542	180
895	1544	179
896	1545	177
897	1547	175
898	1550	174
899	1553	172
900	1556	171
901	1558	169
902	1560	167
903	1563	166
904	1564	164
905	1566	162
906	1569	160
907	1571	159
908	1572	157
909	1574	155
910	1576	154
911	1577	152
912	1579	150
913	1580	148
914	1583	147
915	1584	145
916	1586	143
917	1590	142
918	1591	140
919	1593	138
920	1595	136
921	1596	135
922	1598	133
923	1607	132
924	1609	130
925	1610	128
926	1616	127
927	1621	125
928	1623	124
929	1624	122
930	1625	120
931	1628	118
932	1630	117
933	1633	115
934	1637	113
935	1639	112
936	1641	110
937	1657	109
938	1680	109
939	1681	107
940	1686	105
941	1732	106
942	1734	104
943	1735	102
944	1738	101
945	1740	99
946	1742	97
947	1744	95
948	1746	93
949	1747	91
950	1749	90
951	1751	88
952	1752	86
953	1755	84
954	1757	82
955	1759	80
956	1760	79
957	1762	77
958	1774	75
959	1776	74
960	1778	72
961	1780	70
962	1782	68
963	1783	66
964	1787	64
965	1788	62
966	1790	61
967	1792	59
968	1794	57
969	1796	55
970	1797	53
971	1803	51
972	1805	50
973	1806	48
974	1808	46
975	1814	44
976	1818	42
977	1820	40
978	1822	39
979	1825	37
980	1826	35
981	1828	33
982	1829	31
983	1831	29
984	1833	27
985	1835	26
986	1837	24
987	1838	22
988	1839	20
989	1841	18
990	1842	16
991	1845	14
992	1847	13
993	1848	11
994	1850	9
995	1863	7
996	1864	5
997	1866	3
998	1868	1
999	1869	0
